,game_id,variable,value,batteridx,round
161,201901958,a1,5,1_first,1
162,201901959,a1,5,1_first,1
163,201901961,a1,5,1_first,1
164,201901964,a1,5,1_first,1
165,201901968,a1,7,1_first,1
166,201901982,a1,1,1_first,1
167,201901985,a1,1,1_first,1
168,201901993,a1,5,1_first,1
169,201902030,a1,4,1_first,1
170,201902047,a1,4,1_first,1
171,201902054,a1,5,1_first,1
172,201902071,a1,7,1_first,1
173,201902081,a1,5,1_first,1
174,201902093,a1, ,1_first,1
175,201902097,a1,5,1_first,1
176,201902101,a1,1,1_first,1
177,201902131,a1,5,1_first,1
178,201902138,a1,5,1_first,1
179,201902160,a1,7,1_first,1
180,201902175,a1,4,1_first,1
181,201902176,a1,5,1_first,1
182,201902180,a1,5,1_first,1
183,201902186,a1, ,1_first,1
184,201902187,a1,5,1_first,1
185,201902205,a1,5,1_first,1
186,201902211,a1,5,1_first,1
187,201902250,a1,1,1_first,1
188,201902253,a1,7,1_first,1
189,201902270,a1,7,1_first,1
190,201902271,a1,5,1_first,1
191,201902288,a1,7,1_first,1
192,201902301,a1,5,1_first,1
193,201902307,a1,5,1_first,1
194,201902327,a1,5,1_first,1
195,201902346,a1,7,1_first,1
196,201902365,a1,2,1_first,1
197,201902373,a1, ,1_first,1
198,201902392,a1,6,1_first,1
199,201902394,a1,2,1_first,1
200,201900016,a1,5,2_second,1
201,201900023,a1,4,2_second,1
202,201900103,a1,6,2_second,1
203,201900112,a1,7,2_second,1
204,201900131,a1,1,2_second,1
205,201900141,a1,5,2_second,1
206,201900142,a1,6,2_second,1
207,201900150,a1,6,2_second,1
208,201900157,a1,1,2_second,1
209,201900161,a1,5,2_second,1
210,201900173,a1,5,2_second,1
211,201900176,a1,4,2_second,1
212,201900177,a1,5,2_second,1
213,201900183,a1,7,2_second,1
214,201900186,a1,5,2_second,1
215,201900197,a1,7,2_second,1
216,201900200,a1,5,2_second,1
217,201900201,a1,5,2_second,1
218,201900203,a1,2,2_second,1
219,201900208,a1,7,2_second,1
220,201900213,a1,5,2_second,1
221,201900235,a1,1,2_second,1
222,201900274,a1,5,2_second,1
223,201900285,a1,5,2_second,1
224,201900286,a1,5,2_second,1
225,201900290,a1,5,2_second,1
226,201900294,a1,6,2_second,1
227,201900303,a1,5,2_second,1
228,201900304,a1,7,2_second,1
229,201900339,a1,5,2_second,1
230,201900345,a1,5,2_second,1
231,201900348,a1,3,2_second,1
232,201900349,a1,7,2_second,1
233,201900352,a1,7,2_second,1
234,201900358,a1,2,2_second,1
235,201900361,a1,1,2_second,1
236,201900375,a1,7,2_second,1
237,201900377,a1,4,2_second,1
238,201900380,a1,5,2_second,1
239,201900425,a1,5,2_second,1
240,201900447,a1,5,2_second,1
241,201900457,a1,5,2_second,1
242,201900459,a1,1,2_second,1
243,201900461,a1,5,2_second,1
244,201900462,a1,5,2_second,1
245,201900468,a1,7,2_second,1
246,201900469,a1,7,2_second,1
247,201900478,a1,5,2_second,1
248,201900492,a1,5,2_second,1
249,201900520,a1,5,2_second,1
250,201900571,a1,5,2_second,1
251,201900574,a1,5,2_second,1
252,201900591,a1,7,2_second,1
253,201900595,a1,5,2_second,1
254,201900632,a1,4,2_second,1
255,201900637,a1,5,2_second,1
256,201900644,a1,5,2_second,1
257,201900683,a1,7,2_second,1
258,201900684,a1,9,2_second,1
259,201900688,a1,5,2_second,1
260,201900691,a1,5,2_second,1
261,201900695,a1,5,2_second,1
262,201900710,a1,2,2_second,1
263,201900712,a1,7,2_second,1
264,201900719,a1,5,2_second,1
265,201900759,a1,5,2_second,1
266,201900788,a1,1,2_second,1
267,201900810,a1,9,2_second,1
268,201900814,a1,1,2_second,1
269,201900815,a1,5,2_second,1
270,201900817,a1,1,2_second,1
271,201900818,a1,6,2_second,1
272,201900828,a1,1,2_second,1
273,201900839,a1,5,2_second,1
274,201900843,a1,2,2_second,1
275,201900844,a1,6,2_second,1
276,201900852,a1,5,2_second,1
277,201900872,a1,5,2_second,1
278,201900938,a1,5,2_second,1
279,201900987,a1,5,2_second,1
280,201900998,a1,6,2_second,1
281,201901026,a1,5,2_second,1
282,201901027,a1,1,2_second,1
283,201901030,a1,7,2_second,1
284,201901041,a1,6,2_second,1
285,201901080,a1,6,2_second,1
286,201901082,a1,1,2_second,1
287,201901083,a1,1,2_second,1
288,201901092,a1,9,2_second,1
289,201901095,a1,1,2_second,1
290,201901133,a1,5,2_second,1
291,201901154,a1,5,2_second,1
292,201901162,a1,7,2_second,1
293,201901173,a1,5,2_second,1
294,201901184,a1,8,2_second,1
295,201901186,a1,7,2_second,1
296,201901198,a1,5,2_second,1
297,201901206,a1,5,2_second,1
298,201901222,a1,2,2_second,1
299,201901246,a1,2,2_second,1
300,201901256,a1,5,2_second,1
301,201901273,a1,5,2_second,1
302,201901307,a1,6,2_second,1
303,201901310,a1,4,2_second,1
304,201901324,a1,5,2_second,1
305,201901331,a1,5,2_second,1
306,201901338,a1,5,2_second,1
307,201901376,a1,7,2_second,1
308,201901388,a1,5,2_second,1
309,201901394,a1,5,2_second,1
310,201901398,a1,1,2_second,1
311,201901441,a1,7,2_second,1
312,201901451,a1,7,2_second,1
313,201901457,a1,5,2_second,1
314,201901471,a1,5,2_second,1
315,201901475,a1,7,2_second,1
316,201901491,a1,7,2_second,1
317,201901498,a1,7,2_second,1
318,201901504,a1,5,2_second,1
319,201901505,a1,5,2_second,1
320,201901511,a1,1,2_second,1
321,201901512,a1,5,2_second,1
322,201901521,a1,5,2_second,1
323,201901522,a1,7,2_second,1
324,201901526,a1,7,2_second,1
325,201901539,a1,5,2_second,1
326,201901542,a1,9,2_second,1
327,201901546,a1,5,2_second,1
328,201901560,a1,5,2_second,1
329,201901569,a1,5,2_second,1
330,201901570,a1,5,2_second,1
331,201901579,a1,7,2_second,1
332,201901615,a1,1,2_second,1
333,201901617,a1,5,2_second,1
334,201901650,a1,6,2_second,1
335,201901659,a1,5,2_second,1
336,201901681,a1,6,2_second,1
337,201901688,a1,5,2_second,1
338,201901701,a1,4,2_second,1
339,201901707,a1,7,2_second,1
340,201901711,a1,2,2_second,1
341,201901721,a1,7,2_second,1
342,201901745,a1,5,2_second,1
343,201901746,a1,7,2_second,1
344,201901788,a1,6,2_second,1
345,201901813,a1,7,2_second,1
346,201901819,a1,5,2_second,1
347,201901842,a1,1,2_second,1
348,201901857,a1,7,2_second,1
349,201901858,a1,3,2_second,1
350,201901871,a1,4,2_second,1
351,201901872,a1,4,2_second,1
352,201901888,a1,7,2_second,1
353,201901889,a1,5,2_second,1
354,201901909,a1,5,2_second,1
355,201901916,a1,1,2_second,1
356,201901917,a1,7,2_second,1
357,201901921,a1,7,2_second,1
358,201901926,a1,4,2_second,1
359,201901936,a1,5,2_second,1
360,201901943,a1,5,2_second,1
361,201901958,a1,2,2_second,1
362,201901959,a1,7,2_second,1
363,201901961,a1,7,2_second,1
364,201901964,a1,2,2_second,1
365,201901968,a1,6,2_second,1
366,201901982,a1,5,2_second,1
367,201901985,a1,7,2_second,1
368,201901993,a1,5,2_second,1
369,201902030,a1,1,2_second,1
370,201902047,a1,2,2_second,1
371,201902054,a1,7,2_second,1
372,201902071,a1,2,2_second,1
373,201902081,a1,5,2_second,1
374,201902093,a1,1,2_second,1
375,201902097,a1,5,2_second,1
376,201902101,a1,5,2_second,1
377,201902131,a1,5,2_second,1
378,201902138,a1,7,2_second,1
379,201902160,a1,1,2_second,1
380,201902175,a1,6,2_second,1
381,201902176,a1,7,2_second,1
382,201902180,a1,2,2_second,1
383,201902186,a1,4,2_second,1
384,201902187,a1,5,2_second,1
385,201902205,a1,5,2_second,1
386,201902211,a1,5,2_second,1
387,201902250,a1,2,2_second,1
388,201902253,a1,5,2_second,1
389,201902270,a1,5,2_second,1
390,201902271,a1,5,2_second,1
391,201902288,a1,7,2_second,1
392,201902301,a1,5,2_second,1
393,201902307,a1,7,2_second,1
394,201902327,a1,2,2_second,1
395,201902346,a1,5,2_second,1
396,201902365,a1,5,2_second,1
397,201902373,a1,7,2_second,1
398,201902392,a1,5,2_second,1
399,201902394,a1,4,2_second,1
400,201900016,a2,5,1_first,2
401,201900023,a2,5,1_first,2
402,201900103,a2,5,1_first,2
403,201900112,a2,6,1_first,2
404,201900131,a2,2,1_first,2
405,201900141,a2,6,1_first,2
406,201900142,a2,5,1_first,2
407,201900150,a2,2,1_first,2
408,201900157,a2,4,1_first,2
409,201900161,a2,7,1_first,2
410,201900173,a2,5,1_first,2
411,201900176,a2,7,1_first,2
412,201900177,a2,5,1_first,2
413,201900183,a2,6,1_first,2
414,201900186,a2,7,1_first,2
415,201900197,a2,7,1_first,2
416,201900200,a2,7,1_first,2
417,201900201,a2,1,1_first,2
418,201900203,a2,5,1_first,2
419,201900208,a2,5,1_first,2
420,201900213,a2,2,1_first,2
421,201900235,a2,1,1_first,2
422,201900274,a2,1,1_first,2
423,201900285,a2,1,1_first,2
424,201900286,a2,1,1_first,2
425,201900290,a2,2,1_first,2
426,201900294,a2,7,1_first,2
427,201900303,a2,5,1_first,2
428,201900304,a2,5,1_first,2
429,201900339,a2,5,1_first,2
430,201900345,a2,7,1_first,2
431,201900348,a2,4,1_first,2
432,201900349,a2,6,1_first,2
433,201900352,a2,6,1_first,2
434,201900358,a2,5,1_first,2
435,201900361,a2,2,1_first,2
436,201900375,a2,7,1_first,2
437,201900377,a2,7,1_first,2
438,201900380,a2,5,1_first,2
439,201900425,a2,4,1_first,2
440,201900447,a2,5,1_first,2
441,201900457,a2,5,1_first,2
442,201900459,a2,1,1_first,2
443,201900461,a2,6,1_first,2
444,201900462,a2,5,1_first,2
445,201900468,a2,5,1_first,2
446,201900469,a2,5,1_first,2
447,201900478,a2,1,1_first,2
448,201900492,a2,2,1_first,2
449,201900520,a2,5,1_first,2
450,201900571,a2,5,1_first,2
451,201900574,a2,5,1_first,2
452,201900591,a2,7,1_first,2
453,201900595,a2,5,1_first,2
454,201900632,a2,5,1_first,2
455,201900637,a2,1,1_first,2
456,201900644,a2,7,1_first,2
457,201900683,a2,5,1_first,2
458,201900684,a2,5,1_first,2
459,201900688,a2,5,1_first,2
460,201900691,a2,5,1_first,2
461,201900695,a2,4,1_first,2
462,201900710,a2,5,1_first,2
463,201900712,a2,4,1_first,2
464,201900719,a2,1,1_first,2
465,201900759,a2,5,1_first,2
466,201900788,a2,1,1_first,2
467,201900810,a2,5,1_first,2
468,201900814,a2,2,1_first,2
469,201900815,a2,5,1_first,2
470,201900817,a2,1,1_first,2
471,201900818,a2,7,1_first,2
472,201900828,a2,7,1_first,2
473,201900839,a2,1,1_first,2
474,201900843,a2,5,1_first,2
475,201900844,a2,6,1_first,2
476,201900852,a2,5,1_first,2
477,201900872,a2,6,1_first,2
478,201900938,a2,7,1_first,2
479,201900987,a2,7,1_first,2
480,201900998,a2,5,1_first,2
481,201901026,a2,5,1_first,2
482,201901027,a2,5,1_first,2
483,201901030,a2,5,1_first,2
484,201901041,a2,5,1_first,2
485,201901080,a2,5,1_first,2
486,201901082,a2,2,1_first,2
487,201901083,a2,7,1_first,2
488,201901092,a2,7,1_first,2
489,201901095,a2,7,1_first,2
490,201901133,a2,5,1_first,2
491,201901154,a2,1,1_first,2
492,201901162,a2,5,1_first,2
493,201901173,a2,7,1_first,2
494,201901184,a2,5,1_first,2
495,201901186,a2,5,1_first,2
496,201901198,a2,1,1_first,2
497,201901206,a2,4,1_first,2
498,201901222,a2,5,1_first,2
499,201901246,a2,5,1_first,2
500,201901256,a2,5,1_first,2
501,201901273,a2,1,1_first,2
502,201901307,a2,5,1_first,2
503,201901310,a2,7,1_first,2
504,201901324,a2,7,1_first,2
505,201901331,a2,7,1_first,2
506,201901338,a2,5,1_first,2
507,201901376,a2,5,1_first,2
508,201901388,a2,1,1_first,2
509,201901394,a2,7,1_first,2
510,201901398,a2,7,1_first,2
511,201901441,a2,5,1_first,2
512,201901451,a2,7,1_first,2
513,201901457,a2,5,1_first,2
514,201901471,a2,1,1_first,2
515,201901475,a2,7,1_first,2
516,201901491,a2,1,1_first,2
517,201901498,a2,4,1_first,2
518,201901504,a2,7,1_first,2
519,201901505,a2,5,1_first,2
520,201901511,a2,1,1_first,2
521,201901512,a2,5,1_first,2
522,201901521,a2,7,1_first,2
523,201901522,a2,2,1_first,2
524,201901526,a2,5,1_first,2
525,201901539,a2,7,1_first,2
526,201901542,a2,5,1_first,2
527,201901546,a2,7,1_first,2
528,201901560,a2,5,1_first,2
529,201901569,a2,7,1_first,2
530,201901570,a2,5,1_first,2
531,201901579,a2,6,1_first,2
532,201901615,a2,7,1_first,2
533,201901617,a2,7,1_first,2
534,201901650,a2,5,1_first,2
535,201901659,a2,1,1_first,2
536,201901681,a2,4,1_first,2
537,201901688,a2,5,1_first,2
538,201901701,a2,5,1_first,2
539,201901707,a2,7,1_first,2
540,201901711,a2,7,1_first,2
541,201901721,a2,5,1_first,2
542,201901745,a2,1,1_first,2
543,201901746,a2,5,1_first,2
544,201901788,a2,5,1_first,2
545,201901813,a2,5,1_first,2
546,201901819,a2,1,1_first,2
547,201901842,a2,6,1_first,2
548,201901857,a2,7,1_first,2
549,201901858,a2,5,1_first,2
550,201901871,a2,6,1_first,2
551,201901872,a2,5,1_first,2
552,201901888,a2,5,1_first,2
553,201901889,a2,7,1_first,2
554,201901909,a2,5,1_first,2
555,201901916,a2,6,1_first,2
556,201901917,a2,4,1_first,2
557,201901921,a2,5,1_first,2
558,201901926,a2,5,1_first,2
559,201901936,a2,5,1_first,2
560,201901943,a2,5,1_first,2
561,201901958,a2,1,1_first,2
562,201901959,a2,1,1_first,2
563,201901961,a2,4,1_first,2
564,201901964,a2, :,1_first,2
565,201901968,a2,5,1_first,2
566,201901982,a2,5,1_first,2
567,201901985,a2,4,1_first,2
568,201901993,a2,5,1_first,2
569,201902030,a2,1,1_first,2
570,201902047,a2,7,1_first,2
571,201902054,a2,1,1_first,2
572,201902071,a2,5,1_first,2
573,201902081,a2,1,1_first,2
574,201902093,a2,7,1_first,2
575,201902097,a2,7,1_first,2
576,201902101,a2,5,1_first,2
577,201902131,a2,6,1_first,2
578,201902138,a2, :,1_first,2
579,201902160,a2,5,1_first,2
580,201902175,a2,5,1_first,2
581,201902176,a2,7,1_first,2
582,201902180,a2,7,1_first,2
583,201902186,a2,1,1_first,2
584,201902187,a2,1,1_first,2
585,201902205,a2,7,1_first,2
586,201902211,a2,5,1_first,2
587,201902250,a2,5,1_first,2
588,201902253,a2,5,1_first,2
589,201902270,a2,7,1_first,2
590,201902271,a2,5,1_first,2
591,201902288,a2,6,1_first,2
592,201902301,a2,7,1_first,2
593,201902307,a2,5,1_first,2
594,201902327,a2,5,1_first,2
595,201902346,a2,7,1_first,2
596,201902365,a2,1,1_first,2
597,201902373,a2,5,1_first,2
598,201902392,a2,5,1_first,2
599,201902394,a2,7,1_first,2
600,201900016,a2,5,2_second,2
601,201900023,a2,5,2_second,2
602,201900103,a2,5,2_second,2
603,201900112,a2,1,2_second,2
604,201900131,a2,5,2_second,2
605,201900141,a2,5,2_second,2
606,201900142,a2,1,2_second,2
607,201900150,a2,7,2_second,2
608,201900157,a2,6,2_second,2
609,201900161,a2,2,2_second,2
610,201900173,a2,5,2_second,2
611,201900176,a2,5,2_second,2
612,201900177,a2,7,2_second,2
613,201900183,a2,6,2_second,2
614,201900186,a2,6,2_second,2
615,201900197,a2,5,2_second,2
616,201900200,a2,5,2_second,2
617,201900201,a2,5,2_second,2
618,201900203,a2,6,2_second,2
619,201900208,a2,5,2_second,2
620,201900213,a2,5,2_second,2
621,201900235,a2,6,2_second,2
622,201900274,a2,5,2_second,2
623,201900285,a2,7,2_second,2
624,201900286,a2,9,2_second,2
625,201900290,a2,6,2_second,2
626,201900294,a2,7,2_second,2
627,201900303,a2,5,2_second,2
628,201900304,a2,6,2_second,2
629,201900339,a2,7,2_second,2
630,201900345,a2,7,2_second,2
631,201900348,a2,2,2_second,2
632,201900349,a2,7,2_second,2
633,201900352,a2,7,2_second,2
634,201900358,a2,9,2_second,2
635,201900361,a2,5,2_second,2
636,201900375,a2,5,2_second,2
637,201900377,a2,7,2_second,2
638,201900380,a2,7,2_second,2
639,201900425,a2,6,2_second,2
640,201900447,a2,1,2_second,2
641,201900457,a2,8,2_second,2
642,201900459,a2,7,2_second,2
643,201900461,a2,2,2_second,2
644,201900462,a2,7,2_second,2
645,201900468,a2,1,2_second,2
646,201900469,a2,5,2_second,2
647,201900478,a2,5,2_second,2
648,201900492,a2,5,2_second,2
649,201900520,a2,7,2_second,2
650,201900571,a2,1,2_second,2
651,201900574,a2,6,2_second,2
652,201900591,a2,5,2_second,2
653,201900595,a2,5,2_second,2
654,201900632,a2,7,2_second,2
655,201900637,a2,1,2_second,2
656,201900644,a2,5,2_second,2
657,201900683,a2,5,2_second,2
658,201900684,a2,5,2_second,2
659,201900688,a2,5,2_second,2
660,201900691,a2,5,2_second,2
661,201900695,a2,5,2_second,2
662,201900710,a2,7,2_second,2
663,201900712,a2,5,2_second,2
664,201900719,a2,5,2_second,2
665,201900759,a2,2,2_second,2
666,201900788,a2,5,2_second,2
667,201900810,a2,1,2_second,2
668,201900814,a2,8,2_second,2
669,201900815,a2,5,2_second,2
670,201900817,a2,7,2_second,2
671,201900818,a2,5,2_second,2
672,201900828,a2,7,2_second,2
673,201900839,a2,5,2_second,2
674,201900843,a2,7,2_second,2
675,201900844,a2,1,2_second,2
676,201900852,a2,5,2_second,2
677,201900872,a2,1,2_second,2
678,201900938,a2,5,2_second,2
679,201900987,a2,5,2_second,2
680,201900998,a2,7,2_second,2
681,201901026,a2,1,2_second,2
682,201901027,a2,1,2_second,2
683,201901030,a2,5,2_second,2
684,201901041,a2,1,2_second,2
685,201901080,a2,1,2_second,2
686,201901082,a2,5,2_second,2
687,201901083,a2,5,2_second,2
688,201901092,a2,6,2_second,2
689,201901095,a2,5,2_second,2
690,201901133,a2,6,2_second,2
691,201901154,a2,4,2_second,2
692,201901162,a2,2,2_second,2
693,201901173,a2,7,2_second,2
694,201901184,a2,7,2_second,2
695,201901186,a2,5,2_second,2
696,201901198,a2,5,2_second,2
697,201901206,a2,7,2_second,2
698,201901222,a2,7,2_second,2
699,201901246,a2,7,2_second,2
700,201901256,a2,5,2_second,2
701,201901273,a2,5,2_second,2
702,201901307,a2,5,2_second,2
703,201901310,a2,6,2_second,2
704,201901324,a2,5,2_second,2
705,201901331,a2,5,2_second,2
706,201901338,a2,1,2_second,2
707,201901376,a2,5,2_second,2
708,201901388,a2,5,2_second,2
709,201901394,a2,5,2_second,2
710,201901398,a2,5,2_second,2
711,201901441,a2,5,2_second,2
712,201901451,a2,7,2_second,2
713,201901457,a2,2,2_second,2
714,201901471,a2,5,2_second,2
715,201901475,a2,7,2_second,2
716,201901491,a2,5,2_second,2
717,201901498,a2,1,2_second,2
718,201901504,a2,5,2_second,2
719,201901505,a2,1,2_second,2
720,201901511,a2,1,2_second,2
721,201901512,a2,7,2_second,2
722,201901521,a2,5,2_second,2
723,201901522,a2,2,2_second,2
724,201901526,a2,4,2_second,2
725,201901539,a2,1,2_second,2
726,201901542,a2,7,2_second,2
727,201901546,a2,1,2_second,2
728,201901560,a2,7,2_second,2
729,201901569,a2,7,2_second,2
730,201901570,a2,1,2_second,2
731,201901579,a2,5,2_second,2
732,201901615,a2,7,2_second,2
733,201901617,a2,5,2_second,2
734,201901650,a2,7,2_second,2
735,201901659,a2,5,2_second,2
736,201901681,a2,7,2_second,2
737,201901688,a2,3,2_second,2
738,201901701,a2,5,2_second,2
739,201901707,a2,7,2_second,2
740,201901711,a2,6,2_second,2
741,201901721,a2,5,2_second,2
742,201901745,a2,5,2_second,2
743,201901746,a2,5,2_second,2
744,201901788,a2,1,2_second,2
745,201901813,a2,1,2_second,2
746,201901819,a2,5,2_second,2
747,201901842,a2,1,2_second,2
748,201901857,a2,1,2_second,2
749,201901858,a2,7,2_second,2
750,201901871,a2,5,2_second,2
751,201901872,a2,7,2_second,2
752,201901888,a2,7,2_second,2
753,201901889,a2,5,2_second,2
754,201901909,a2,5,2_second,2
755,201901916,a2,1,2_second,2
756,201901917,a2,6,2_second,2
757,201901921,a2,2,2_second,2
758,201901926,a2,5,2_second,2
759,201901936,a2,5,2_second,2
760,201901943,a2,5,2_second,2
761,201901958,a2,5,2_second,2
762,201901959,a2,5,2_second,2
763,201901961,a2,5,2_second,2
764,201901964,a2,9,2_second,2
765,201901968,a2,4,2_second,2
766,201901982,a2,5,2_second,2
767,201901985,a2,7,2_second,2
768,201901993,a2,4,2_second,2
769,201902030,a2,1,2_second,2
770,201902047,a2,4,2_second,2
771,201902054,a2,6,2_second,2
772,201902071,a2,5,2_second,2
773,201902081,a2,7,2_second,2
774,201902093,a2,6,2_second,2
775,201902097,a2,5,2_second,2
776,201902101,a2,5,2_second,2
777,201902131,a2,5,2_second,2
778,201902138,a2,5,2_second,2
779,201902160,a2,1,2_second,2
780,201902175,a2,5,2_second,2
781,201902176,a2,7,2_second,2
782,201902180,a2,5,2_second,2
783,201902186,a2,5,2_second,2
784,201902187,a2,5,2_second,2
785,201902205,a2,4,2_second,2
786,201902211,a2,7,2_second,2
787,201902250,a2,7,2_second,2
788,201902253,a2,5,2_second,2
789,201902270,a2,2,2_second,2
790,201902271,a2,5,2_second,2
791,201902288,a2,1,2_second,2
792,201902301,a2,5,2_second,2
793,201902307,a2,8,2_second,2
794,201902327,a2,7,2_second,2
795,201902346,a2,4,2_second,2
796,201902365,a2,1,2_second,2
797,201902373,a2,6,2_second,2
798,201902392,a2,1,2_second,2
799,201902394,a2,4,2_second,2
800,201900016,a3,5,1_first,3
801,201900023,a3,2,1_first,3
802,201900103,a3,1,1_first,3
803,201900112,a3,5,1_first,3
804,201900131,a3,2,1_first,3
805,201900141,a3,7,1_first,3
806,201900142,a3,5,1_first,3
807,201900150,a3,5,1_first,3
808,201900157,a3,5,1_first,3
809,201900161,a3,1,1_first,3
810,201900173,a3,7,1_first,3
811,201900176,a3,6,1_first,3
812,201900177,a3,7,1_first,3
813,201900183,a3,5,1_first,3
814,201900186,a3,2,1_first,3
815,201900197,a3,7,1_first,3
816,201900200,a3,1,1_first,3
817,201900201,a3,4,1_first,3
818,201900203,a3,5,1_first,3
819,201900208,a3,4,1_first,3
820,201900213,a3,5,1_first,3
